section,SAMPLE_NUM,N_COARSE,N_REF,coarse_J_min,coarse_J_mean,coarse_Z_EW,coarse_ESS,coarse_ESS_ratio,key,obs_mean,obs_min,obs_max,obs_std,obs_mean_abs,sigma,sigma_source,param,low_norm,up_norm,low_real,up_real,width_norm,method,resource_power,N,sqrt_N,repeat,exact_min_index,exact_min_J,QMSA_index,QMSA_J,abs_J_error,success_by_value,oracle_calls,classical_queries,query_reduction_factor,mean_oracle_calls,std_oracle_calls,mean_abs_J_error,success_rate,mean_query_reduction,N_or_Q,N_ref,Z_true,Z_est_mean,Z_est_std,MAE,RMSE,QAE_state_qubits,QAE_eval_qubits,histogram_target_E_f,MC_slope,QAE_slope
qmsa_raw,,,,,,,,,,,,,,,,,,,,,,,QMSA,4.0,16.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,True,4.0,16.0,4.0,,,,,,,,,,,,,,,,,
qmsa_raw,,,,,,,,,,,,,,,,,,,,,,,QMSA,4.0,16.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,True,3.0,16.0,5.333333333333333,,,,,,,,,,,,,,,,,
qmsa_raw,,,,,,,,,,,,,,,,,,,,,,,QMSA,5.0,32.0,5.656854249492381,0.0,25.0,0.0,25.0,0.0,0.0,True,8.0,32.0,4.0,,,,,,,,,,,,,,,,,
qmsa_raw,,,,,,,,,,,,,,,,,,,,,,,QMSA,5.0,32.0,5.656854249492381,1.0,25.0,0.0,9.0,3.7488106014022406,3.7488106014022406,False,22.0,32.0,1.4545454545454546,,,,,,,,,,,,,,,,,
qmsa_raw,,,,,,,,,,,,,,,,,,,,,,,QMSA,5.0,32.0,5.656854249492381,2.0,25.0,0.0,25.0,0.0,0.0,True,1.0,32.0,32.0,,,,,,,,,,,,,,,,,
qmsa_raw,,,,,,,,,,,,,,,,,,,,,,,QMSA,5.0,32.0,5.656854249492381,3.0,25.0,0.0,25.0,0.0,0.0,True,4.0,32.0,8.0,,,,,,,,,,,,,,,,,
qmsa_raw,,,,,,,,,,,,,,,,,,,,,,,QMSA,5.0,32.0,5.656854249492381,4.0,25.0,0.0,25.0,0.0,0.0,True,2.0,32.0,16.0,,,,,,,,,,,,,,,,,
qmsa_raw,,,,,,,,,,,,,,,,,,,,,,,QMSA,6.0,64.0,8.0,0.0,5.0,0.0,5.0,0.0,0.0,True,15.0,64.0,4.266666666666667,,,,,,,,,,,,,,,,,
qmsa_raw,,,,,,,,,,,,,,,,,,,,,,,QMSA,6.0,64.0,8.0,1.0,5.0,0.0,5.0,0.0,0.0,True,0.0,64.0,64.0,,,,,,,,,,,,,,,,,
qmsa_raw,,,,,,,,,,,,,,,,,,,,,,,QMSA,6.0,64.0,8.0,2.0,5.0,0.0,5.0,0.0,0.0,True,1.0,64.0,64.0,,,,,,,,,,,,,,,,,
