distance,observation,QMSA_MAP_simulation,selected_mean,selected_median,CI95_low,CI95_high
27.112,0.883917,0.9553530762058057,1.0964549397396626,1.097365105004157,0.8696454871044492,1.3038561236366215
27.2202,0.651908,0.9521363897614705,1.0932901830820676,1.0945285862715832,0.8656533387346218,1.3012224367772294
27.6969,0.646147,0.937921011886671,1.0793234824753746,1.0808820232337608,0.8479265406254558,1.2896349008353802
27.8142,0.605553,0.9344122038358993,1.075880835695024,1.0774831197814814,0.8435299628515167,1.2867875367510362
27.8234,0.796969,0.9341368215294321,1.0756107255228327,1.077200640209145,0.8431845552505812,1.28656427993335
27.9481,0.912989,0.9304015874252214,1.0719481427977449,1.073390441315048,0.8384944881823669,1.2835391242186172
28.0707,0.982604,0.9267208465456487,1.0683411129020892,1.0695087592380994,0.8338474247031972,1.2805641124906357
28.2857,0.489583,0.9202047933471944,1.061961136551578,1.0628673692748034,0.8249481259600953,1.2753168645006505
29.7222,0.605711,0.8745530784453592,1.017444973705225,1.0177875888041161,0.7616224103765453,1.2391977691694744
29.852,0.82614,0.8702467752222603,1.0132606763960341,1.0138060155664341,0.7555690901074977,1.2358432492863343
29.9779,0.965361,0.8660411548501561,1.0091764678920752,1.009719541496311,0.7496451887982727,1.2325751339832072
30.4286,0.414354,0.8507540464817508,0.9943487895380717,0.995383504151776,0.7280151724373308,1.220759721270782
34.8442,0.484326,0.677760780512747,0.8271302375835997,0.8315610078013045,0.4824846918663763,1.0899110211660255
37.115,0.588922,0.5681130181884213,0.7202169583287883,0.7269998631726821,0.33997299073770965,1.0057093394810026
37.9519,0.635395,0.5238109309156578,0.6763307316870121,0.6822549033502148,0.2939958670084609,0.9715487690599318
39.9762,0.571758,0.4078478737566992,0.5597483768351863,0.5639102769936688,0.20273573852543952,0.8800439237005875
42.3562,0.467547,0.28200042602243963,0.42049893469726246,0.4174234188575397,0.1338813322586596,0.758183238760892
42.593,0.432764,0.27148655968871943,0.407391532744971,0.4030893134633771,0.1294257292208168,0.7448735653577043
43.6599,0.299441,0.22862301770041768,0.35001414831484257,0.3397435343922322,0.11472732309240083,0.6822469397879649
45.5588,0.108184,0.17110297531037288,0.26102050452620623,0.24175222262967178,0.10286002743503328,0.5649100659906078
46.3936,0.108253,0.1536899364044941,0.23046663467591835,0.21118552493316473,0.09959989415923759,0.5134595352287373
49.0229,0.23028,0.12764640977173772,0.16726133050463302,0.15642230041722505,0.0925289835381239,0.35681299529974797
49.1333,0.0446746,0.12710272413769844,0.16544459318887633,0.1548854212063031,0.09240884151592017,0.35109456107139725
49.2556,0.10849,0.12652616011477905,0.16349418953526468,0.15332193772081007,0.09228631302372416,0.3448840207065289
50.2185,0.294184,0.12293128204280798,0.15042046547922983,0.14252341406583324,0.09170947936442433,0.30055011735643133
50.3266,0.0621749,0.12263235663569151,0.14920561494994386,0.1416211802214093,0.09168769505177901,0.29607856698382856
51.5203,0.0854757,0.12073614169217463,0.139184660219228,0.13404189748162817,0.09202394618190239,0.2534874639002451
51.7601,0.114498,0.12066594709296188,0.13792238347566405,0.1331076403299357,0.09221909093683447,0.24643261365962776
51.9964,0.0681137,0.1206984724199927,0.13692425377693046,0.13226638146907937,0.09245314662943056,0.23997203725229416
52.5932,0.0797641,0.12102498896241683,0.13493765530845195,0.1315916297173362,0.09314494453154143,0.22523782298939724
52.8323,0.0913848,0.12121999994578538,0.13426495650878115,0.13090088402444588,0.09336681475141266,0.21987324685726078
54.0234,0.0624812,0.12273861031904294,0.13196389794423716,0.12981567914002204,0.09358038176060715,0.19773877074847065
55.0992,0.114775,0.12489350376144065,0.1313888355994462,0.12957631374354706,0.09432539424379924,0.1872917901012904
56.0521,0.0916516,0.12742236873954588,0.13206977073248818,0.13067798879261064,0.09542241313811528,0.18330547142771117
56.7681,0.103312,0.12954408079399393,0.13303683736576283,0.13163247911029674,0.09640079957174666,0.18185806095016804
58.3167,0.0686374,0.13428713319425048,0.13560539886708675,0.13419213507066194,0.09792181311818397,0.18711461860299522
