distance,observation,QMSA_MAP_simulation,selected_mean,selected_median,CI95_low,CI95_high
5.12777,2.23407,3.1894255527875965,3.0959190677217077,3.096271288192926,2.767297768596156,3.418243549047733
5.36627,2.46153,3.1884363629301684,3.095019786903653,3.0953353947991,2.766356791038916,3.417312981492259
5.60477,3.10243,3.187486701758723,3.0941549322153046,3.094430664125912,2.76544535298878,3.416415277030169
6.20102,2.08969,3.185285486831287,3.092143409811958,3.092200051402365,2.7632814700515125,3.4143147919084957
6.67802,3.59887,3.183702393976263,3.0906891094730047,3.090404966445171,2.7616868269034587,3.4127822877313836
8.46678,3.70276,3.17895271274704,3.086271913625686,3.0853089150897723,2.7566521740242695,3.408062228157905
8.58603,3.70279,3.1786023775246153,3.0859494831343537,3.0848759513414468,2.7562925865564845,3.4077742767765007
8.94378,3.99231,3.1774373632459896,3.0848850364780156,3.083439922749989,2.7551328359016782,3.406803372647277
11.8058,4.22054,3.161960637609723,3.0711229546211585,3.071738967352059,2.7402744052265895,3.393255309840325
14.3101,2.58821,3.1425308935878333,3.0539104760419384,3.0554248209730352,2.721652383775542,3.3757600505127363
14.7871,2.75372,3.1386995120211094,3.0504800545210804,3.0519345932765285,2.7180197128634305,3.3722752857722327
16.2181,3.58102,3.1269527227824425,3.039897230183229,3.042088430269335,2.7069547230235678,3.3615288902793576
17.5298,2.79587,3.1153937228084656,3.0295233799243757,3.032275818793386,2.696115914400125,3.35098524739729
18.0068,2.75467,3.11093548962377,3.025548956728389,3.0289280998205137,2.6919395833192663,3.3469415692583113
19.3186,2.58968,3.0979741144894457,3.014063406014894,3.016559595019578,2.6798084856749393,3.335291983047827
19.3186,2.81707,3.0979741144894457,3.014063406014894,3.016559595019578,2.6798084856749393,3.335291983047827
21.5843,2.94177,3.072989654014217,2.992069082851524,2.99434631250435,2.6559022461814115,3.3167708248465595
21.9421,2.73516,3.0687026252900274,2.9882914361435735,2.990613011865816,2.6516890107101765,3.313532537571463
24.6848,2.86,3.0326456491223346,2.9564612177193554,2.9571321808420326,2.616780762153808,3.287795591265406
25.4003,2.83954,3.022166300404231,2.9471818784735224,2.9467177424666047,2.606749497064171,3.2804218824853284
25.4003,2.52946,3.022166300404231,2.9471818784735224,2.9467177424666047,2.606749497064171,3.2804218824853284
26.9506,2.75731,2.997754669770868,2.9255131827686074,2.9258398245021824,2.5834924110460182,3.263450925841655
27.1891,2.79873,2.993791997788025,2.921989834547121,2.922336529281696,2.5797296625382655,3.260707514369984
27.6661,2.65416,2.9857009323531645,2.9147912941529057,2.9145184058946545,2.572056289118964,3.2551043073045713
27.6661,2.71618,2.9857009323531645,2.9147912941529057,2.9145184058946545,2.572056289118964,3.2551043073045713
27.7853,2.44748,2.9836445061784467,2.912960795377275,2.913040543314066,2.5701079580164383,3.253679858383128
27.9046,2.36483,2.981572538901146,2.911116101980181,2.9112689777513756,2.568145664207414,3.2522445117108303
27.9046,2.57155,2.981572538901146,2.911116101980181,2.9112689777513756,2.568145664207414,3.2522445117108303
28.0239,2.75763,2.9794867603601607,2.9092587388141076,2.9089706550404846,2.566171084301109,3.250799393767207
28.3816,2.26161,2.9731526925040663,2.9036124733226787,2.903281165390713,2.560188589111644,3.2463921036858627
29.6934,2.79947,2.9489002604109755,2.881910386630628,2.8818175526042227,2.53748120580446,3.2292351964732138
29.8126,3.29563,2.946616794491338,2.8798608415425195,2.8796592098189153,2.5353580517154906,3.22759877435453
29.9319,1.68326,2.9443181171347415,2.8777966444466254,2.877969723441798,2.5332231429798835,3.2259480657946904
30.4089,2.20019,2.934994348119651,2.8694140340317156,2.8695688460432263,2.5245873857655114,3.2192538249365645
34.8211,2.09814,2.8427017842523705,2.784444042994497,2.7838546462731735,2.433805921287924,3.1489406158508166
37.2061,1.97481,2.794855124115869,2.7369376061911006,2.7352706753005775,2.385981129986439,3.105890678445911
37.9216,2.65719,2.7831863771220893,2.724030514959165,2.722387006825725,2.3742020476491708,3.0924818549917084
39.8296,3.46396,2.7594855535394673,2.693529536164687,2.694632833330255,2.3499190298439103,3.055711647831713
42.2147,2.80316,2.760185262283122,2.675489894728225,2.6794067206340695,2.342385986775146,3.0149178502913054
42.5724,2.76193,2.764762057653006,2.675956668948824,2.680885724004633,2.34379464473817,3.0100437793893446
43.7649,3.17571,2.78847152264935,2.6835101945543807,2.6837974788592014,2.3554031144754783,3.019222301943866
45.6729,3.17628,2.8513989323420756,2.7172882501961646,2.714736418857464,2.393257992337282,3.085873026282033
46.5077,2.96981,2.8877372766526483,2.741519295098173,2.7435311317969844,2.415252306921908,3.1203557475690307
49.0119,3.23928,3.0286431164301506,2.8481130866640365,2.8529000779436924,2.4812823623685105,3.2440232827722397
49.2504,3.65279,3.0444901624009635,2.8606736131573807,2.864751218779865,2.4897909124884494,3.2576923843061674
49.2504,3.96286,3.0444901624009635,2.8606736131573807,2.864751218779865,2.4897909124884494,3.2576923843061674
50.2044,2.18537,3.112029915645966,2.9148558582715385,2.921269364913787,2.5291501047320213,3.31597203776716
50.3237,2.14406,3.120943193770757,2.9220749508193524,2.928786698302499,2.5346714072859635,3.323665603120412
51.6354,4.27365,3.225794253598726,3.0079496433651642,3.0149550726536845,2.6041638683888206,3.4344617252415195
51.7547,5.9481,3.2359535247420257,3.0163512732702134,3.023072403529478,2.611283338282192,3.445240317043433
52.2317,5.41077,3.277590994220884,3.050891403893153,3.0578496198989686,2.6409715650797696,3.4894293112136814
52.7087,4.95613,3.3207378377239167,3.0867323316087725,3.0948068915318308,2.6719874594935584,3.535212252814729
