distance,observation,QMSA_MAP_simulation,selected_mean,selected_median,CI95_low,CI95_high
4.99151,0.0863726,0.1096373284429772,0.10776113234561692,0.1073077747030583,0.10185143430025673,0.1192487635869566
5.46689,0.0183618,0.11065476294842218,0.10863324366641884,0.10814218943007398,0.10227033681023114,0.12100061755908938
6.41766,0.00156147,0.11244815681628642,0.11017022677109184,0.10961682916335985,0.10300698975843503,0.12408768038433551
6.65535,0.00161931,0.11284618924590185,0.11051129017391659,0.10994554219157972,0.1031700760665017,0.12477263002078517
8.43803,0.0190847,0.11533324652370691,0.11264196783842637,0.11201206197219436,0.10418347169154707,0.12905101368005
9.03226,0.0192293,0.11651535516828412,0.11365630692904903,0.11299366064469452,0.10466467903600073,0.13108991011460944
11.7657,0.0198943,0.1271251385408639,0.12277324063299733,0.12184803383374432,0.10899425506955628,0.14943262012491407
14.2615,0.0205016,0.14396660419630333,0.137230087971714,0.13589559925681938,0.11583610201799534,0.17857673572591595
14.8557,0.0206462,0.1489250697704267,0.14147993850607637,0.13995670896169302,0.1178395800068323,0.18715886027723483
16.2818,0.0209931,0.16235045321492203,0.15297834606135288,0.15099786517211125,0.12325032406185361,0.21039712113025624
17.4703,0.0212823,0.1760843674116632,0.16473457266411284,0.16244490975865641,0.12877750242103084,0.23416276915895384
17.9457,0.0895245,0.18235544794938613,0.17010156763835743,0.1676784242096191,0.13130047809282425,0.24501197609858813
19.3718,0.00471334,0.20383280858746045,0.18847944464138688,0.18554312573047163,0.1399388150866431,0.28216114204760173
21.6299,0.039326,0.2478189214937923,0.22615126729614154,0.22160505597150365,0.1576545033079939,0.35821920543829644
21.9864,0.209729,0.25626926997914723,0.2334002015574158,0.22852902463016112,0.1610664229784299,0.37282824364256284
24.601,0.0741122,0.3315506986905491,0.2980788448158133,0.2904708326140591,0.19154498188382418,0.5029166272727454
25.4329,0.108378,0.36202411289020797,0.32434055778542675,0.31549800636316,0.2039829994976802,0.5554019223287259
27.3345,0.279157,0.44611143723807434,0.3969943676598055,0.3847405751910108,0.23856069055348259,0.699743285601142
27.691,0.364402,0.4641103001885641,0.41257002442772484,0.39981962404288846,0.24599495852463654,0.7305773069121498
27.9287,0.177112,0.47650330849119926,0.42329825734465143,0.4102706378798103,0.2511188383496691,0.7517983280525444
28.0475,0.00682422,0.4828187392094932,0.4287665584203849,0.41559937944334663,0.2537317960382021,0.7626078036417966
28.2852,0.500799,0.49582117849006446,0.44003216187200017,0.4263748737915513,0.25912679157894203,0.7847945990891046
29.5925,0.398928,0.5764877041278194,0.5101082650496189,0.4940556571618778,0.2929925355798651,0.9208671323328242
29.7114,0.177545,0.5845930904842905,0.517163280148432,0.5008235914432383,0.2964248034303061,0.9345517964855394
30.4244,0.313972,0.6358869210549613,0.5618535332040461,0.5445473366916935,0.31823862664549674,1.020810512374068
34.8217,0.434263,1.069762092711358,0.9441898381170714,0.9141441693505847,0.5112284443791124,1.7259568274850157
37.1986,0.996885,1.4105010502931858,1.2502284536300172,1.2141761646055675,0.6753247078673702,2.227319024436758
37.9117,2.34256,1.5322572868257933,1.36072832592055,1.3240473270990138,0.7379703281625796,2.3723935979181534
39.8132,2.90506,1.903727539643232,1.7003181661938498,1.662880982925623,0.9382161625197513,2.7623824912528523
42.309,1.13438,2.419844650614796,2.205983803218547,2.1903391319203713,1.286053033756948,3.207834158179106
42.5467,1.42398,2.4660506148059294,2.2552561195997725,2.241243467398052,1.3249407687685317,3.2403274708492686
43.6163,1.79893,2.6675210272791423,2.47931311723238,2.4830929169460165,1.5123382736556847,3.372997714383098
45.6367,1.91865,3.004190077741542,2.8842840669022114,2.9218848344180692,1.9136727022173492,3.6376693766928843
46.3497,1.13536,3.103314345239732,3.01012954908017,3.0517526024774555,2.0668955918394087,3.7147815351175897
48.9643,3.4523,3.386096617581392,3.3959409458157475,3.427465274111576,2.6663846391746397,3.934229418436387
49.0832,2.85622,3.3974592617220707,3.4111989740570863,3.443178335069874,2.692647086594006,3.9432455228513237
49.202,3.0436,3.4087804389933094,3.4262803764804035,3.4579706803135526,2.7186451135332117,3.9522610084867065
50.1528,3.0268,3.4982387714953638,3.5410836152060137,3.563193135315107,2.9179896258773974,4.024666051969069
50.2716,2.82245,3.509272768606212,3.554690948080556,3.578962708845621,2.9418067610469207,4.033744212033528
51.5789,3.19746,3.6285864318265517,3.693615153022377,3.7075751839471254,3.1878965367994208,4.1341019580743055
51.6978,2.90796,3.6392464831423967,3.7052668364282457,3.7192517001016956,3.2088233826680477,4.143271396912172
52.1732,2.87401,3.681629339663935,3.750378724266118,3.763402100791138,3.2879931822300725,4.180054483419073
52.1732,3.16355,3.681629339663935,3.750378724266118,3.763402100791138,3.2879931822300725,4.180054483419073
52.7674,3.89605,3.735273118286773,3.805919487391078,3.8151692116791267,3.363598981014339,4.227074020719875
53.9559,2.10802,3.845815016398942,3.9162697146394545,3.9256401809459467,3.493729205523637,4.325251119549893
55.1443,1.81877,3.9606742727521906,4.025623225792255,4.032620060075699,3.6043064767089015,4.440397970199856
55.9762,4.28856,4.043652026497423,4.101585007123167,4.106496834889837,3.676136724685375,4.542893577847405
55.9762,6.02578,4.043652026497423,4.101585007123167,4.106496834889837,3.676136724685375,4.542893577847405
56.5705,5.15732,4.103873253359342,4.155622227164045,4.162371818212605,3.7253956011666634,4.61726812782416
58.3531,5.00447,4.286371453542339,4.317100848751614,4.316471035467367,3.8689293594386456,4.841576622113575
