distance,observation,QMSA_MAP_simulation,selected_mean,selected_median,CI95_low,CI95_high
5.11036,0.0479848,0.17217662042119572,0.17779562589221426,0.17767810635217104,0.1492900961686964,0.2045144831945521
5.34805,0.147992,0.17814881951199374,0.18389842314939198,0.1837679435534545,0.1544740716048337,0.21146369653984584
5.58574,0.202347,0.18390093263103044,0.1897737853345046,0.18964457251129244,0.15946459890308312,0.2181548955559083
6.29881,0.189326,0.19983675615757251,0.20603526145745255,0.20589530900763636,0.17326088494846958,0.23668040662870765
6.65535,0.139337,0.20706197561799283,0.21339850582222114,0.21329535485660472,0.1794954702931683,0.2450724774209456
8.55688,0.195918,0.2386880886234808,0.24548224342692448,0.2455065391784453,0.20674392044344977,0.281526868890805
8.55688,0.285048,0.2386880886234808,0.24548224342692448,0.2455065391784453,0.20674392044344977,0.281526868890805
9.03226,0.36115,0.24757504412298464,0.2544117906306964,0.2544840769783752,0.21459210164591935,0.29134307873885634
11.7657,0.104713,0.3227521163127828,0.32928499337280165,0.33001507065760965,0.2831530557432659,0.37651126615716385
14.2615,0.150443,0.40628895123648895,0.41239061513687775,0.41259634537504297,0.36202369003136126,0.4712823431198191
14.8557,0.39394,0.42375695276580694,0.4298773287870811,0.4298668384777023,0.3774359734069483,0.4911596963254479
16.2818,0.60268,0.46178174821354306,0.46814939504145703,0.46740544886420604,0.41131905878118397,0.5345508892655905
17.4703,0.522282,0.4888544146541586,0.49587108566455274,0.4950879679085909,0.43609237224476544,0.5658810649773691
17.9457,0.504905,0.4984489982721693,0.5058703658186445,0.5043776260083543,0.44510342393906926,0.5771576451459307
19.3718,0.376689,0.5229987372430928,0.5321314889077027,0.5311018139794409,0.4652130004978198,0.6066810042579028
19.3718,0.565819,0.5229987372430928,0.5321314889077027,0.5311018139794409,0.4652130004978198,0.6066810042579028
21.6299,0.370237,0.5484806809755166,0.5617601461642201,0.5608984334383015,0.47804619586499575,0.6397074967362357
21.9864,0.335465,0.5509157324357825,0.5649916844413603,0.5636665308896944,0.4782975475774268,0.643272950774452
24.7199,0.529029,0.5552441861017856,0.576657027283826,0.5754007398479746,0.46839711182553934,0.6650765106419458
25.4329,0.572529,0.5525221901260362,0.5761186352368405,0.5754084972094988,0.46272982789687717,0.6670627986642796
