000000	0.091
000001	0.015
000010	0.012
000011	0.016
000100	0.015
000101	0.008
000110	0.023
000111	0.012
001000	0.011
001001	0.016
001010	0.021
001011	0.014
001100	0.013
001101	0.02
001110	0.013
001111	0.012
010000	0.015
010001	0.018
010010	0.018
010011	0.013
010100	0.015
010101	0.021
010110	0.018
010111	0.015
011000	0.012
011001	0.012
011010	0.018
011011	0.014
011100	0.012
011101	0.012
011110	0.006
011111	0.011
100000	0.018
100001	0.017
100010	0.013
100011	0.011
100100	0.02
100101	0.01
100110	0.015
100111	0.019
101000	0.012
101001	0.016
101010	0.011
101011	0.011
101100	0.02
101101	0.015
101110	0.014
101111	0.009
110000	0.022
110001	0.015
110010	0.015
110011	0.016
110100	0.017
110101	0.012
110110	0.011
110111	0.009
111000	0.018
111001	0.008
111010	0.016
111011	0.012
111100	0.012
111101	0.015
111110	0.019
111111	0.01
