000000	0.086
000001	0.015
000010	0.011
000011	0.012
000100	0.02
000101	0.015
000110	0.022
000111	0.017
001000	0.015
001001	0.012
001010	0.017
001011	0.009
001100	0.014
001101	0.008
001110	0.018
001111	0.01
010000	0.016
010001	0.013
010010	0.018
010011	0.015
010100	0.016
010101	0.013
010110	0.019
010111	0.015
011000	0.015
011001	0.016
011010	0.009
011011	0.012
011100	0.017
011101	0.011
011110	0.017
011111	0.006
100000	0.012
100001	0.021
100010	0.017
100011	0.018
100100	0.018
100101	0.024
100110	0.012
100111	0.012
101000	0.014
101001	0.018
101010	0.018
101011	0.017
101100	0.006
101101	0.018
101110	0.022
101111	0.008
110000	0.013
110001	0.015
110010	0.014
110011	0.022
110100	0.016
110101	0.01
110110	0.009
110111	0.016
111000	0.008
111001	0.012
111010	0.019
111011	0.011
111100	0.013
111101	0.013
111110	0.016
111111	0.009
