5.59E+00	-4.18E+01
1.18E+00	-3.66E+01
-2.73E-01	-4.13E+01
5.95E+00	-3.82E+01
1.25E+01	-3.88E+01
3.21E+00	-2.82E+01
4.80E+00	-3.69E+01
-9.04E-01	-3.02E+01
-2.08E+00	-3.14E+01
6.67E+00	-2.71E+01
8.86E+00	-3.17E+01
2.88E+00	-3.46E+01
1.66E-01	-3.51E+01
-4.99E+00	-2.90E+01
-4.85E+00	-3.09E+01
3.76E+00	-2.67E+01
9.89E-01	-2.86E+01
9.90E+00	-2.42E+01
1.23E+01	-2.76E+01
6.42E+00	-2.07E+01
5.51E+00	-2.22E+01
1.22E+01	-1.88E+01
1.26E+01	-2.25E+01
6.45E+00	-2.25E+01
1.62E+00	-2.51E+01
9.52E+00	-2.13E+01
-3.70E+00	-1.92E+01
1.29E+00	-2.51E+01
2.21E-01	-1.85E+01
4.33E+00	-2.33E+01
1.89E+00	-2.38E+01
8.94E+00	-2.02E+01
-1.14E+01	-2.63E+01
-2.52E+00	-2.19E+01
4.13E-01	-2.04E+01
-5.40E+00	-2.33E+01
-7.38E+00	-2.27E+01
-1.23E+00	-2.99E+01
-1.06E+01	-2.83E+01
-2.28E+00	-2.82E+01
-6.47E+00	-2.75E+01
7.42E-01	-2.74E+01
-8.06E+00	-2.89E+01
4.95E-01	-2.47E+01
