
          ---- Aqueous concentrations vs. grid blocks at specified times ----

   Unit: 
    - Aqueous species: Total concencentrations in mol/L     
    - Exchanged species: Concentrations in mol/L     
    - Component in dry nodes in mol/L medium
 
VARIABLES =X,        Y,       Z,  P(bar)  ,      Sg,       Sl  ,     T(C)  ,  aH2O,    pH     ,t_ca+2     ,t_mg+2     ,t_na+      ,t_k+       ,t_hco3-    ,t_so4-2    ,t_cl-      ,X_na+      ,X_k+       ,X_ca+2     ,X_mg+2     ,X_h+       ,
ZONE T= "0.000000E+00 yr"  F=POINT
      3.000      0.000     0.000  0.1012E+01  0.0000E+00  0.1000E+01   4.000  0.9963  6.7012  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
      6.000      0.000     0.000  0.1011E+01  0.0000E+00  0.1000E+01   4.000  0.9963  6.7012  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
     10.000      0.000     0.000  0.1011E+01  0.0000E+00  0.1000E+01   4.000  0.9963  6.7012  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
     14.000      0.000     0.000  0.1011E+01  0.0000E+00  0.1000E+01   4.000  0.9963  6.7012  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
     18.000      0.000     0.000  0.1010E+01  0.0000E+00  0.1000E+01   4.000  0.9963  6.7012  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
     22.000      0.000     0.000  0.1010E+01  0.0000E+00  0.1000E+01   4.000  0.9963  6.7012  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
     26.000      0.000     0.000  0.1010E+01  0.0000E+00  0.1000E+01   4.000  0.9963  6.7012  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
     30.000      0.000     0.000  0.1010E+01  0.0000E+00  0.1000E+01   4.000  0.9963  6.7012  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
     34.000      0.000     0.000  0.1010E+01  0.0000E+00  0.1000E+01   4.000  0.9963  6.7012  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
     38.000      0.000     0.000  0.1010E+01  0.0000E+00  0.1000E+01   4.000  0.9963  6.7012  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
