

          ---- Modelling Progress and Iteration Messages ----


 Description of column-headers and variables:
   ITERFL  = Iterations to solve flow
   ITERSQ  = Sequential transport-chemistry iterations
   MAXITCH = Maximum iterations to solve chemistry
   AVGITCH = Average iterations to solve chemistry
   DELTA-T = Current time step (days)
   Dt limit = Criterion limiting timestep
   Maxitch ID = Grid block: maximum chemical iterations

     STEP   Time(yr)   ITERFL ITERSQ MAXITCH AVGITCH Delta-t(day)  Dt limit       Maxitch ID
 ----------------------------------------------------------------------------------------------------------
        0  0.000000E+00     0     0      0    0.000  0.00000E+00  Flo_Delta_t            
        1  0.316888E+00     2     1     21   21.000  0.11574E+03  Flo_Delta_t       F   0
        2  0.950664E+00     2     1      6    6.000  0.23148E+03  Chm_Delta_t       F   0
        3  0.221822E+01     2     1      6    6.000  0.46296E+03  Chm_Delta_t       F   0
        4  0.475332E+01     2     1      6    6.000  0.92593E+03  Chm_Delta_t       F   0
        5  0.982353E+01     2     1      6    6.000  0.18519E+04  Chm_Delta_t       F   0
        6  0.199639E+02     2     1      6    6.000  0.37037E+04  Chm_Delta_t       F   0
        7  0.402448E+02     2     1      6    6.000  0.74074E+04  Chm_Delta_t       F   0
        8  0.808064E+02     2     1      6    6.000  0.14815E+05  Chm_Delta_t       F   0
        9  0.161930E+03     2     1      7    6.059  0.29630E+05  Flo_Delta_t       F   0
       10  0.324176E+03     2     1      8    6.118  0.59259E+05  Flo_Delta_t       F   0
       11  0.648670E+03     2     1      9    6.176  0.11852E+06  Flo_Delta_t       F   0
       12  0.129766E+04     2     1     10    6.235  0.23704E+06  Flo_Delta_t       F   0
       13  0.259563E+04     2     1     11    6.294  0.47407E+06  Flo_Delta_t       F   0
       14  0.519157E+04     2     1     12    6.353  0.94815E+06  Flo_Delta_t       F   0
       15  0.103835E+05     2     1     13    6.471  0.18963E+07  Flo_Delta_t       F   0
       16  0.207672E+05     2     1     14    6.647  0.37926E+07  Flo_Delta_t       F   0
       17  0.415348E+05     2     1     16    6.941  0.75852E+07  Flo_Delta_t       F   0
       18  0.830699E+05     2     1     17    7.235  0.15170E+08  Flo_Delta_t       F   0
       19  0.100000E+06     2     1     15    7.000  0.61836E+07  Flo_Delta_t       F   0
       20  0.133860E+06     2     1     16    7.353  0.12367E+08  Flo_Delta_t       F   0
       29  0.100000E+07     2     1     18    8.941  0.36116E+08  Max_Delta_t       F   0
       30  0.109993E+07     2     1     18    9.059  0.36500E+08  Max_Delta_t       F   0
       40  0.209927E+07     2     1     18    9.882  0.36500E+08  Max_Delta_t       F   0
       50  0.309861E+07     2     1     17   10.412  0.36500E+08  Max_Delta_t       F   0
       60  0.409795E+07     2     1     17   11.000  0.36500E+08  Max_Delta_t       F   0
       70  0.509728E+07     2     1     17   11.529  0.36500E+08  Max_Delta_t       F   0
       80  0.609662E+07     2     1     17   12.000  0.36500E+08  Max_Delta_t       F   0
       90  0.709596E+07     2     1     17   12.471  0.36500E+08  Max_Delta_t       F   0
      100  0.809530E+07     2     1     17   12.765  0.36500E+08  Max_Delta_t       F   0
      110  0.909464E+07     2     1     17   13.176  0.36500E+08  Max_Delta_t       F   0
      120  0.100000E+08     2     1     17    8.882  0.21771E+07  Max_Delta_t       F   0
      130  0.107784E+08     2     1     17   13.529  0.36500E+08  Max_Delta_t       F   1
      140  0.117778E+08     2     1     16   13.529  0.36500E+08  Max_Delta_t       F   0
      150  0.127771E+08     2     1     16   13.882  0.36500E+08  Max_Delta_t       F   0
      160  0.137764E+08     2     1     16   13.941  0.36500E+08  Max_Delta_t       F   0
      170  0.147758E+08     2     1     16   14.118  0.36500E+08  Max_Delta_t       F   0
      180  0.157751E+08     2     1     16   14.235  0.36500E+08  Max_Delta_t       F   0
      190  0.167744E+08     2     1     16   14.353  0.36500E+08  Max_Delta_t       F   1
      200  0.177738E+08     2     1     16   14.353  0.36500E+08  Max_Delta_t       F   1
      210  0.187731E+08     2     1     16   14.353  0.36500E+08  Max_Delta_t       F   1
      220  0.197725E+08     2     1     16   14.412  0.36500E+08  Max_Delta_t       F   2
      230  0.207718E+08     2     1     16   14.412  0.36500E+08  Max_Delta_t       F   3
      240  0.217711E+08     2     1     16   14.412  0.36500E+08  Max_Delta_t       F   3
      250  0.227705E+08     2     1     16   14.353  0.36500E+08  Max_Delta_t       F   4
      260  0.237698E+08     2     1     16   14.235  0.36500E+08  Max_Delta_t       F   5
      270  0.247692E+08     2     1     16   14.235  0.36500E+08  Max_Delta_t       F   6
      280  0.257685E+08     2     1     15   14.294  0.36500E+08  Max_Delta_t       F   2
      290  0.267678E+08     2     1     15   14.235  0.36500E+08  Max_Delta_t       F   3
      300  0.277672E+08     2     1     15   14.294  0.36500E+08  Max_Delta_t       F   3
      310  0.287665E+08     2     1     15   14.176  0.36500E+08  Max_Delta_t       F   3
      320  0.297658E+08     2     1     15   14.118  0.36500E+08  Max_Delta_t       F   3
      330  0.307652E+08     2     1     15   14.118  0.36500E+08  Max_Delta_t       F   4
      340  0.317645E+08     2     1     15   14.118  0.36500E+08  Max_Delta_t       F   4
      350  0.327639E+08     2     1     15   14.000  0.36500E+08  Max_Delta_t       F   4
      360  0.337632E+08     2     1     15   13.941  0.36500E+08  Max_Delta_t       F   5
      370  0.347625E+08     2     1     15   13.882  0.36500E+08  Max_Delta_t       F   5
      380  0.357619E+08     2     1     15   13.824  0.36500E+08  Max_Delta_t       F   6
      390  0.367612E+08     2     1     15   13.765  0.36500E+08  Max_Delta_t       F   6
      400  0.377605E+08     2     1     15   13.647  0.36500E+08  Max_Delta_t       F   6
      410  0.387599E+08     2     1     15   13.647  0.36500E+08  Max_Delta_t       F   7
      420  0.397592E+08     2     1     15   13.647  0.36500E+08  Max_Delta_t       F   7
      430  0.407586E+08     2     1     15   13.353  0.36500E+08  Max_Delta_t       F   8
      440  0.417579E+08     2     1     15   13.235  0.36500E+08  Max_Delta_t       F   9
      450  0.427572E+08     2     1     15   13.118  0.36500E+08  Max_Delta_t       F   9
      460  0.437566E+08     2     1     14   13.000  0.36500E+08  Max_Delta_t       F   5
      470  0.447559E+08     2     1     14   12.882  0.36500E+08  Max_Delta_t       F   5
      480  0.457552E+08     2     1     14   12.882  0.36500E+08  Max_Delta_t       F   6
      490  0.467546E+08     2     1     14   12.706  0.36500E+08  Max_Delta_t       F   6
      500  0.477539E+08     2     1     14   12.588  0.36500E+08  Max_Delta_t       F   6
      510  0.487533E+08     2     1     14   12.471  0.36500E+08  Max_Delta_t       F   6
      520  0.497526E+08     2     1     14   12.294  0.36500E+08  Max_Delta_t       F   7
      530  0.507519E+08     2     1     14   12.176  0.36500E+08  Max_Delta_t       F   7
      540  0.517513E+08     2     1     14   12.000  0.36500E+08  Max_Delta_t       F   7
      550  0.527506E+08     2     1     14   11.706  0.36500E+08  Max_Delta_t       F   8
      560  0.537499E+08     2     1     14   11.529  0.36500E+08  Max_Delta_t       F   8
      570  0.547493E+08     2     1     14   11.471  0.36500E+08  Max_Delta_t       F   8
      580  0.557486E+08     2     1     14   11.529  0.36500E+08  Max_Delta_t       F   8
      590  0.567480E+08     2     1     14   11.529  0.36500E+08  Max_Delta_t       F   9
      600  0.577473E+08     2     1     14   11.471  0.36500E+08  Max_Delta_t       F   9
      610  0.587466E+08     2     1     14   11.471  0.36500E+08  Max_Delta_t       F   9
      620  0.597460E+08     2     1     14   11.471  0.36500E+08  Max_Delta_t       F  10
      630  0.607453E+08     2     1     14   11.235  0.36500E+08  Max_Delta_t       F  10
      640  0.617446E+08     2     1     14   11.353  0.36500E+08  Max_Delta_t       F  10
      650  0.627440E+08     2     1     14   11.176  0.36500E+08  Max_Delta_t       F  10
      660  0.637433E+08     2     1     14   11.000  0.36500E+08  Max_Delta_t       F  11
      670  0.647427E+08     2     1     14   11.059  0.36500E+08  Max_Delta_t       F  11
      680  0.657420E+08     2     1     14   11.118  0.36500E+08  Max_Delta_t       F  11
      690  0.667413E+08     2     1     14   11.176  0.36500E+08  Max_Delta_t       F  11
      700  0.677407E+08     2     1     14   11.294  0.36500E+08  Max_Delta_t       F  11
      710  0.687400E+08     2     1     14   11.059  0.36500E+08  Max_Delta_t       F  12
      720  0.697393E+08     2     1     14   11.000  0.36500E+08  Max_Delta_t       F  12
      730  0.707387E+08     2     1     14   10.941  0.36500E+08  Max_Delta_t       F  12
      740  0.717380E+08     2     1     14   11.059  0.36500E+08  Max_Delta_t       F  12
      750  0.727374E+08     2     1     14   10.824  0.36500E+08  Max_Delta_t       F  13
      760  0.737367E+08     2     1     14   10.824  0.36500E+08  Max_Delta_t       F  13
      770  0.747360E+08     2     1     14   10.824  0.36500E+08  Max_Delta_t       F  13
      780  0.757354E+08     2     1     14   11.059  0.36500E+08  Max_Delta_t       F  13
      790  0.767347E+08     2     1     14   10.824  0.36500E+08  Max_Delta_t       F  14
      800  0.777340E+08     2     1     14   11.000  0.36500E+08  Max_Delta_t       F  14
      810  0.787334E+08     2     1     14   10.647  0.36500E+08  Max_Delta_t       F  14
      820  0.797327E+08     2     1     14   10.529  0.36500E+08  Max_Delta_t       F  15
      830  0.807321E+08     2     1     14   10.294  0.36500E+08  Max_Delta_t       F  15
      840  0.817314E+08     2     1     13   10.412  0.36500E+08  Max_Delta_t       F  11
      850  0.827307E+08     2     1     13   10.471  0.36500E+08  Max_Delta_t       F  11
      860  0.837301E+08     2     1     13   10.471  0.36500E+08  Max_Delta_t       F  11
      870  0.847294E+08     2     1     13   10.471  0.36500E+08  Max_Delta_t       F  11
      880  0.857288E+08     2     1     13   10.353  0.36500E+08  Max_Delta_t       F  11
      890  0.867281E+08     2     1     13   10.353  0.36500E+08  Max_Delta_t       F  12
      900  0.877274E+08     2     1     13   10.118  0.36500E+08  Max_Delta_t       F  12
      910  0.887268E+08     2     1     13   10.059  0.36500E+08  Max_Delta_t       F  12
      920  0.897261E+08     2     1     13   10.000  0.36500E+08  Max_Delta_t       F  12
      930  0.907254E+08     2     1     13    9.824  0.36500E+08  Max_Delta_t       F  12
      940  0.917248E+08     2     1     13    9.882  0.36500E+08  Max_Delta_t       F  12
      950  0.927241E+08     2     1     13    9.882  0.36500E+08  Max_Delta_t       F  12
      960  0.937235E+08     2     1     13    9.941  0.36500E+08  Max_Delta_t       F  13
      970  0.947228E+08     2     1     13   10.000  0.36500E+08  Max_Delta_t       F  13
      980  0.957221E+08     2     1     13    9.941  0.36500E+08  Max_Delta_t       F  13
      990  0.967215E+08     2     1     13    9.765  0.36500E+08  Max_Delta_t       F  13
     1000  0.977208E+08     2     1     13    9.765  0.36500E+08  Max_Delta_t       F  13
     1010  0.987201E+08     2     1     13    9.706  0.36500E+08  Max_Delta_t       F  13
     1020  0.997195E+08     2     1     13    9.647  0.36500E+08  Max_Delta_t       F  13
     1023  0.100000E+09     2     1     13    9.176  0.29458E+08  Max_Delta_t       F  14
     1030  0.100700E+09     2     1     13    9.765  0.36500E+08  Max_Delta_t       F  14
     1040  0.101699E+09     2     1     13    9.588  0.36500E+08  Max_Delta_t       F  14
     1050  0.102698E+09     2     1     13    9.412  0.36500E+08  Max_Delta_t       F  14
     1060  0.103698E+09     2     1     13    9.294  0.36500E+08  Max_Delta_t       F  14
     1070  0.104697E+09     2     1     13    9.706  0.36500E+08  Max_Delta_t       F  14
     1080  0.105696E+09     2     1     13    9.353  0.36500E+08  Max_Delta_t       F  14
     1090  0.106696E+09     2     1     13    9.412  0.36500E+08  Max_Delta_t       F  14
     1100  0.107695E+09     2     1     13    9.412  0.36500E+08  Max_Delta_t       F  15
     1110  0.108694E+09     2     1     13    9.412  0.36500E+08  Max_Delta_t       F  15
     1120  0.109694E+09     2     1     13    9.353  0.36500E+08  Max_Delta_t       F  15
     1130  0.110693E+09     2     1     13    9.353  0.36500E+08  Max_Delta_t       F  15
     1140  0.111692E+09     2     1     13    9.353  0.36500E+08  Max_Delta_t       F  15
     1150  0.112692E+09     2     1     13    9.235  0.36500E+08  Max_Delta_t       F  15
     1160  0.113691E+09     2     1     13    9.059  0.36500E+08  Max_Delta_t       F  16
     1170  0.114690E+09     2     1     13    9.118  0.36500E+08  Max_Delta_t       F  16
     1180  0.115690E+09     2     1     13    9.059  0.36500E+08  Max_Delta_t       F  16
     1190  0.116689E+09     2     1     13    9.235  0.36500E+08  Max_Delta_t       F  16
     1200  0.117688E+09     2     1     12    9.118  0.36500E+08  Max_Delta_t       F  13
     1210  0.118688E+09     2     1     12    9.118  0.36500E+08  Max_Delta_t       F  13
     1220  0.119687E+09     2     1     12    9.412  0.36500E+08  Max_Delta_t       F  13
     1230  0.120686E+09     2     1     12    9.000  0.36500E+08  Max_Delta_t       F  14
     1240  0.121686E+09     2     1     12    9.235  0.36500E+08  Max_Delta_t       F  14
     1250  0.122685E+09     2     1     12    9.000  0.36500E+08  Max_Delta_t       F  14
     1260  0.123684E+09     2     1     12    9.000  0.36500E+08  Max_Delta_t       F  14
     1270  0.124684E+09     2     1     12    9.000  0.36500E+08  Max_Delta_t       F  14
     1280  0.125683E+09     2     1     12    8.941  0.36500E+08  Max_Delta_t       F  14
     1290  0.126682E+09     2     1     12    8.824  0.36500E+08  Max_Delta_t       F  14
     1300  0.127682E+09     2     1     12    8.765  0.36500E+08  Max_Delta_t       F  14
     1310  0.128681E+09     2     1     12    8.765  0.36500E+08  Max_Delta_t       F  14
     1320  0.129680E+09     2     1     12    8.765  0.36500E+08  Max_Delta_t       F  14
     1330  0.130680E+09     2     1     12    8.765  0.36500E+08  Max_Delta_t       F  14
     1340  0.131679E+09     2     1     12    8.824  0.36500E+08  Max_Delta_t       F  15
     1350  0.132678E+09     2     1     12    8.882  0.36500E+08  Max_Delta_t       F  15
     1360  0.133678E+09     2     1     12    8.882  0.36500E+08  Max_Delta_t       F  15
     1370  0.134677E+09     2     1     12    8.882  0.36500E+08  Max_Delta_t       F  15
     1380  0.135676E+09     2     1     12    8.882  0.36500E+08  Max_Delta_t       F  15
     1390  0.136676E+09     2     1     12    8.882  0.36500E+08  Max_Delta_t       F  15
     1400  0.137675E+09     2     1     12    8.824  0.36500E+08  Max_Delta_t       F  15
     1410  0.138674E+09     2     1     12    8.647  0.36500E+08  Max_Delta_t       F  15
     1420  0.139674E+09     2     1     12    8.882  0.36500E+08  Max_Delta_t       F  16
     1430  0.140673E+09     2     1     12    8.529  0.36500E+08  Max_Delta_t       F  16
     1440  0.141672E+09     2     1     12    8.412  0.36500E+08  Max_Delta_t       F  16
     1450  0.142672E+09     2     1     12    8.412  0.36500E+08  Max_Delta_t       F  16
     1460  0.143671E+09     2     1     12    8.294  0.36500E+08  Max_Delta_t       F  16
     1464  0.144003E+09     2     1     11    6.412  0.11759E+08  Max_Delta_t       F   9

  ...done!   simulation finished

